Owner,Winner,WinnerConference,WinnerSeedInBracket,WinnerSeed,South,SouthSeed,West,WestSeed,East,EastSeed,Midwest,MidwestSeed,SumOfFinalFours,FinalFourRemaining,FinalFourOffense,FinalFourDefense,FinalFourSS,PPR,Points,R64,R32,S16,E8,F4,NCG,CHAMPION,TOTAL,PCT
Poole Party,Villanova,Big East,1,2,Virginia,1,North Carolina,2,Villanova,1,Michigan St.,3,7,4,119.475,91.45,8.205,1920,0,0,0,0,0,0,0,Villanova,0,0
Lone Starr,Villanova,Big East,1,2,Virginia,1,North Carolina,2,Villanova,1,Duke,2,6,4,119.275,90.4,6.0975,1920,0,0,0,0,0,0,0,Villanova,0,0
Tsheridan,Duke,ACC,2,7,Virginia,1,Michigan,3,Villanova,1,Duke,2,7,4,119.5,91.875,7.625,1920,0,0,0,0,0,0,0,Duke,0,0
SeahawkNation,Virginia,ACC,1,1,Virginia,1,Houston,6,Purdue,2,Michigan St.,3,12,4,118.675,94.35,10.5175,1920,0,0,0,0,0,0,0,UVA,0,0
BallRulesAll,North Carolina,ACC,2,4,Virginia,1,North Carolina,2,Villanova,1,Kansas,1,5,4,120.125,90.825,7.9425,1920,0,0,0,0,0,0,0,UNC,0,0
SherbearPig,Villanova,Big East,1,2,Arizona,4,Michigan,3,Villanova,1,Michigan St.,3,11,4,120.35,96.15,9.8875,1920,0,0,0,0,0,0,0,Villanova,0,0
Dwyer,Villanova,Big East,1,2,Arizona,4,Gonzaga,4,Villanova,1,Michigan St.,3,12,4,121.575,98.075,9.1125,1920,0,0,0,0,0,0,0,Villanova,0,0
IWannaDancewitSomeBonnies,St. Bonaventure,Atlantic 10,11,24,Cincinnati,2,Gonzaga,4,St. Bonaventure,11,Kansas,1,18,4,120.55,97.95,6.405,1920,0,0,0,0,0,0,0,St. Bonaventure,0,0
SLATTS2,Villanova,Big East,1,2,Virginia,1,North Carolina,2,Villanova,1,Duke,2,6,4,119.275,90.4,6.0975,1920,0,0,0,0,0,0,0,Villanova,0,0
MDThix,Villanova,Big East,1,2,Arizona,4,Xavier,1,Villanova,1,Michigan St.,3,9,4,122.475,96.525,10.2725,1920,0,0,0,0,0,0,0,Villanova,0,0
Whi.Town,Virginia,ACC,1,1,Virginia,1,North Carolina,2,Villanova,1,Kansas,1,5,4,120.125,90.825,7.9425,1920,0,0,0,0,0,0,0,UVA,0,0
Cole123411,Duke,ACC,2,7,Arizona,4,Michigan,3,Villanova,1,Duke,2,10,4,120.15,95.1,7.78,1920,0,0,0,0,0,0,0,Duke,0,0
DickieVBABY,Kansas,Big 12,1,5,Cincinnati,2,Gonzaga,4,Florida,6,Kansas,1,13,4,119.1,97.4,7.29,1920,0,0,0,0,0,0,0,Kansas,0,0
nicktravers123,Villanova,Big East,1,2,Virginia,1,Xavier,1,Villanova,1,Duke,2,5,4,121.625,92.25,8.01,1920,0,0,0,0,0,0,0,Villanova,0,0
BigVin37,Virginia,ACC,1,1,Virginia,1,North Carolina,2,Villanova,1,Michigan St.,3,7,4,119.475,91.45,8.205,1920,0,0,0,0,0,0,0,UVA,0,0
Peter VonHolten,Kansas,Big 12,1,5,Cincinnati,2,North Carolina,2,Villanova,1,Kansas,1,6,4,120.975,93.125,7.0825,1920,0,0,0,0,0,0,0,Kansas,0,0
Rondo,Kansas,Big 12,1,5,Virginia,1,Ohio St.,5,Texas Tech,3,Kansas,1,10,4,119.275,94.85,8.67,1920,0,0,0,0,0,0,0,Kansas,0,0
asaf1323,Villanova,Big East,1,2,Arizona,4,Gonzaga,4,Villanova,1,Auburn,4,13,4,120.45,97.075,8.75,1920,0,0,0,0,0,0,0,Villanova,0,0
bwhitm2552327,North Carolina,ACC,2,4,Kentucky,5,North Carolina,2,Villanova,1,Kansas,1,9,4,119.95,92.875,7.6575,1920,0,0,0,0,0,0,0,UNC,0,0
RyanBAC,Tennessee,SEC,3,8,Tennessee,3,North Carolina,2,West Virginia,5,Michigan St.,3,13,4,118.025,95.35,9.0475,1920,0,0,0,0,0,0,0,Tennessee,0,0
bieberfever456,Michigan St.,Big Ten,3,14,Virginia,1,North Carolina,2,Villanova,1,Michigan St.,3,7,4,119.475,91.45,8.205,1920,0,0,0,0,0,0,0,Michigan State,0,0
All Aboard!!,Michigan St.,Big Ten,3,14,Arizona,4,North Carolina,2,Villanova,1,Michigan St.,3,10,4,120.125,94.675,8.36,1920,0,0,0,0,0,0,0,Michigan State,0,0
BadAssets21,North Carolina,ACC,2,4,Kentucky,5,North Carolina,2,Villanova,1,Duke,2,10,4,119.1,92.45,5.8125,1920,0,0,0,0,0,0,0,UNC,0,0
