Index,Team,Conference
1,Virginia,ACC
2,Virginia,ACC
3,Virginia,ACC
4,Virginia,ACC
5,Virginia,ACC
6,Arizona,Pac-12
7,Arizona,Pac-12
8,Cincinnati,AAC
9,Virginia,ACC
10,Arizona,Pac-12
11,Virginia,ACC
12,Arizona,Pac-12
13,Cincinnati,AAC
14,Virginia,ACC
15,Virginia,ACC
16,Cincinnati,AAC
17,Virginia,ACC
18,Arizona,Pac-12
19,Kentucky,SEC
20,Tennessee,SEC
21,Virginia,ACC
22,Arizona,Pac-12
23,Kentucky,SEC
24,North Carolina,ACC
25,North Carolina,ACC
26,Michigan,Big Ten
27,Houston,AAC
28,North Carolina,ACC
29,Michigan,Big Ten
30,Gonzaga,WCC
31,Gonzaga,WCC
32,North Carolina,ACC
33,Xavier,Big East
34,North Carolina,ACC
35,Michigan,Big Ten
36,Gonzaga,WCC
37,Xavier,Big East
38,North Carolina,ACC
39,North Carolina,ACC
40,Ohio St.,Big Ten
41,Gonzaga,WCC
42,North Carolina,ACC
43,North Carolina,ACC
44,North Carolina,ACC
45,North Carolina,ACC
46,North Carolina,ACC
47,Villanova,Big East
48,Villanova,Big East
49,Villanova,Big East
50,Purdue,Big Ten
51,Villanova,Big East
52,Villanova,Big East
53,Villanova,Big East
54,St. Bonaventure,Atlantic 10
55,Villanova,Big East
56,Villanova,Big East
57,Villanova,Big East
58,Villanova,Big East
59,Florida,SEC
60,Villanova,Big East
61,Villanova,Big East
62,Villanova,Big East
63,Texas Tech,Big 12
64,Villanova,Big East
65,Villanova,Big East
66,West Virginia,Big 12
67,Villanova,Big East
68,Villanova,Big East
69,Villanova,Big East
70,Michigan St.,Big Ten
71,Duke,ACC
72,Duke,ACC
73,Michigan St.,Big Ten
74,Kansas,Big 12
75,Michigan St.,Big Ten
76,Michigan St.,Big Ten
77,Kansas,Big 12
78,Duke,ACC
79,Michigan St.,Big Ten
80,Kansas,Big 12
81,Duke,ACC
82,Kansas,Big 12
83,Duke,ACC
84,Michigan St.,Big Ten
85,Kansas,Big 12
86,Kansas,Big 12
87,Auburn,SEC
88,Kansas,Big 12
89,Michigan St.,Big Ten
90,Michigan St.,Big Ten
91,Michigan St.,Big Ten
92,Duke,ACC
